payment_id,order_id,payment_amount,payment_method,payment_date
PM00026550,O00140954,31667.71,CARD,2025-04-29 17:44:05.326849
PM00061790,O00140951,49237.94,WALLET,2024-10-16 17:44:07.987503
PM00078369,O00026680,48634.5,CARD,2024-02-03 17:44:08.740850
PM00031343,O00133509,30219.21,NETBANKING,2025-05-23 17:44:05.786817
PM00010909,O00035210,18803.3,NETBANKING,2024-10-31 17:44:03.823785
PM00010679,O00029449,2318.19,CARD,2025-09-06 17:44:03.801912
PM00009881,O00037397,33526.5,CARD,2024-03-14 17:44:03.725503
PM00012448,O00131594,18947.55,COD,2024-06-04 17:44:03.971711
PM00030902,O00033807,709.34,NETBANKING,2024-08-10 17:44:05.744586
PM00112921,O00053596,48421.5,WALLET,2024-03-21 17:44:10.319326
PM00032441,O00078047,14709.2,NETBANKING,2024-05-30 17:44:05.892284
PM00064985,O00050263,43224.0,UPI,2025-09-07 17:44:08.133352
PM00014039,O00029596,MANY,NETBANKING,2025-04-13 17:44:11.763327
PM00095571,O00147727,49725.3,COD,2024-06-17 17:44:09.517806
PM00054029,O00065966,33237.93,CARD,2024-01-12 17:44:07.635931
PM00091451,O00040234,36146.97,CARD,2024-12-18 17:44:09.332495
PM00024438,O00155145,17745.94,NETBANKING,2024-02-14 17:44:05.121823
PM00013724,O00129719,-722.5667467231758,,2024-11-19 17:44:11.741166
PM00021358,O00096744,21832.81,CARD,2024-12-31 17:44:10.779364
PM00099756,O00075665,37285.31,CARD,2024-10-19 17:44:09.706759
PM00066491,O00041754,30367.02,CARD,2024-09-29 17:44:08.201581
PM00065259,O00052692,11660.07,CARD,2024-10-02 17:44:08.145693
PM00080680,O00066538,9072.76,UPI,2025-01-06 17:44:08.844795
PM00063411,O00071753,13801.42,CARD,2025-01-01 17:44:08.062872
PM00005182,O00016347,MANY,NETBANKING,2025-01-27 17:44:11.120303
PM00029051,O00069530,39452.06,COD,2024-09-27 17:44:05.567184
PM00038916,O00010669,3193.31,UPI,2024-07-22 17:44:06.515028
PM00044321,O00091904,9657.89,WALLET,2024-05-31 17:44:07.029824
PM00015976,O00094708,29739.67,NETBANKING,2025-09-12 17:44:04.307973
PM00024675,O00165773,23788.81,WALLET,2025-02-20 17:44:05.145511
PM00039923,O00119330,38775.93,UPI,2024-10-20 17:44:06.611866
PM00089240,O00155539,16379.69,UPI,2025-09-05 17:44:09.232444
PM00106428,O00139814,3804.15,UPI,2025-03-06 17:44:10.018534
PM00047611,O00125404,25233.88,UPI,2024-11-29 17:44:07.346196
