product_code,product_name,category,unit_price,is_active
P012143,Revolutionize Frictionless Technologies,Electronics,-871.4081213341284,True
P006923,NavajoWhite Est,Books,2934.73,True
P005603,MediumTurquoise Unde,Toys,7704.43,True
P009625,MediumSeaGreen Voluptates,Fashion,18009.72,True
P000600,DarkBlue Nemo,Beauty,5484.52,True
P008874,DodgerBlue Cumque,Sports,997.18,True
P000904,PeachPuff Blanditiis,Home,694.68,True
P002022,Salmon Aut,Sports,14086.47,True
P007324,PeachPuff Fugiat,Sports,1946.83,True
P008159,DarkOrchid Perferendis,Sports,8841.92,True
P010249,LightSkyBlue Odit,Beauty,9458.47,True
P002551,Moccasin Explicabo,Books,12251.94,True
P008199,DarkSeaGreen Nostrum,Toys,23877.54,True
P000153,Peru Ipsum,Electronics,14354.41,True
P008040,Thistle Iusto,Fashion,17168.95,True
P000140,PaleVioletRed Odio,Sports,2660.55,True
P005798,SandyBrown Tempore,Home,3954.82,True
P001211,Teal Dolore,Electronics,11568.88,True
P012414,Evolve Turn-Key Initiatives,Sports,FREE,True
P004257,MediumPurple Sint,Home,20712.36,True
P011909,Violet Minima,Books,2612.57,True
P004841,Fuchsia Deleniti,Grocery,3617.85,True
P005379,LightSkyBlue Tempora,Home,18446.34,True
P006009,Silver Commodi,Sports,13372.8,True
P004339,NavajoWhite Aliquam,Electronics,6546.55,True
P000529,CornflowerBlue Quisquam,Beauty,12167.96,True
P005666,Green Eveniet,Books,8373.84,True
P007713,BurlyWood Maxime,Toys,23803.44,True
P009171,DarkOliveGreen Corporis,Grocery,20297.66,True
P000894,MediumSlateBlue Ipsa,Electronics,18777.49,True
P014238,Utilize Visionary Platforms,Toys,-332.2258943236529,True
P004478,ForestGreen Tempora,Sports,4665.62,True
P006651,DarkMagenta Debitis,Beauty,12543.31,True
P003627,ForestGreen Ut,Fashion,2747.83,True
P013398,Enable Interactive Experiences,,FREE,True
P002125,DeepPink Dolor,Beauty,17755.81,True
P008154,BurlyWood Facere,Fashion,11774.84,True
P001396,Chartreuse Eos,Books,9924.81,True
P014072,Leverage Impactful Initiatives,Sports,-557.3386105071941,True
P001460,DeepPink Architecto,Fashion,2686.92,True
P001549,Turquoise Laudantium,Electronics,19669.26,True
P007380,DarkSeaGreen Nihil,Electronics,23454.75,True
P002905,MintCream Iure,Fashion,4963.99,True
P002743,Pink Enim,Books,14620.13,True
P003712,DarkGoldenRod Voluptatibus,Electronics,13655.26,True
P011911,Azure Ducimus,Toys,16578.46,True
P002558,Wheat Adipisci,Sports,20357.13,True
P006850,Pink Saepe,Fashion,11581.9,True
P004676,LightSteelBlue Amet,Grocery,4435.32,True
P007348,DarkOrchid Harum,Home,10661.56,True
P008870,Deploy B2B Supply-Chains,Electronics,9385.38,True
P002652,DodgerBlue Facere,Sports,13206.14,True
P009927,Turquoise Dolor,Fashion,21667.69,True
P008578,PaleGreen Iusto,Fashion,2307.12,True
P012095,Transition Seamless Communities,Home,-758.2198588037991,True
P005475,PaleTurquoise Atque,Toys,19928.81,True
P003638,Tan Rerum,Beauty,2738.94,True
P011865,LimeGreen Rerum,Fashion,2746.98,True
P003955,SeaShell Quos,Beauty,20414.52,True
P006759,LightCyan Laboriosam,Toys,16880.45,True
P004404,SeaGreen Harum,Toys,22059.88,True
P013122,Engineer Revolutionary Partnerships,Fashion,FREE,True
P010338,Navy Delectus,Home,15509.7,True
P000649,Tomato Accusamus,Books,2760.81,True
P002751,Orchid Aliquid,Books,22224.35,True
P002929,PeachPuff Voluptas,Fashion,15387.96,True
P013551,Deploy Integrated Vortals,Sports,-981.9718398397573,True
P002311,Green Adipisci,Grocery,6536.67,True
P014591,,Books,10606.62,True
P009867,Moccasin Sed,Toys,22337.12,True
P006798,Cyan Dolorum,Electronics,21321.29,True
P009323,Teal Sed,Home,14335.93,True
P000873,DarkKhaki Veniam,Fashion,10447.16,True
P011137,MediumSeaGreen Illo,Beauty,9128.0,True
P009440,Black Pariatur,Toys,3537.64,True
P002223,Bisque Quae,Books,4624.66,True
P008928,Magenta Asperiores,Toys,15108.77,True
P007200,MediumBlue Modi,Toys,6083.02,True
P007556,AliceBlue Architecto,Home,20077.14,True
P012791,Benchmark Distributed Systems,Toys,-247.23738733863266,True
P014776,Grow End-To-End Convergence,Home,-748.4970114017913,True
P007117,LimeGreen Corporis,Books,193.95,True
P010224,Orchid Magnam,Toys,5712.89,True
P007164,DarkSalmon Accusamus,Grocery,4893.91,True
P009327,Repurpose Clicks-And-Mortar Niches,Grocery,4124.42,True
P010135,Bisque A,Electronics,6526.33,True
P009934,SlateBlue Tempora,Sports,4283.0,True
P003709,GoldenRod Accusantium,Electronics,16517.86,True
P006626,AliceBlue Dolorum,Home,20924.54,True
P007270,Indigo Iste,Grocery,8352.04,True
P004436,Teal Recusandae,Fashion,7544.13,True
P009149,Snow Ex,Home,16267.02,True
P008087,Brown Labore,Electronics,3043.16,True
P010215,Lime Unde,Fashion,12583.18,True
P002544,DarkViolet Optio,Toys,22890.83,True
P011029,MintCream Quia,Grocery,104.84,True
P001237,Chocolate Illum,Books,809.26,True
P000492,Olive Iste,Sports,3032.54,True
P002733,OldLace Temporibus,Fashion,11222.32,True
P002473,Moccasin Accusamus,Sports,21056.68,True
P014467,Seize End-To-End Partnerships,Sports,-532.182899393493,True
P005860,DarkOrchid Occaecati,Grocery,18647.64,True
P010230,Violet Nisi,Fashion,13567.17,True
P011852,FloralWhite Asperiores,Electronics,18948.52,True
P014972,Productize Global Solutions,Electronics,-11.19343689948991,True
P004809,Khaki Dolores,Sports,16359.79,True
P002994,Monetize Open-Source Interfaces,Beauty,19280.61,True
P006060,DeepPink Quos,Toys,12204.96,True
P011630,Azure Iste,Books,17714.43,True
P010757,MediumSeaGreen Odit,Fashion,15378.49,True
P011293,Cyan Neque,Fashion,19954.05,True
P006729,CadetBlue Minus,Books,3871.9,True
P014471,Empower Bricks-And-Clicks Functionalities,Books,-503.18486473421194,True
P009665,DeepPink Repellat,Home,9306.17,True
P006647,MediumBlue Officia,Beauty,1277.36,True
P005253,Chartreuse Illo,Beauty,14889.08,True
P009643,SlateGray Nostrum,Fashion,22121.86,True
P012051,,Beauty,24511.63,True
P002934,Gainsboro Perferendis,Grocery,13130.22,True
P013441,Architect Visionary Web Services,Electronics,-429.81394992610103,True
P002331,PaleTurquoise Odio,Sports,24226.35,True
P006358,DarkGray Dolores,Books,5758.45,True
P008755,SlateGray Exercitationem,Toys,11382.53,True
P004315,LightYellow Similique,Sports,5736.39,True
P013811,Engineer Dynamic Mindshare,Fashion,-610.8407113192171,True
P002189,SandyBrown Blanditiis,Toys,11663.27,True
P005409,MediumBlue Libero,Home,12376.83,True
P012286,,Sports,15845.41,True
P012519,Monetize One-To-One E-Tailers,Sports,FREE,True
P006553,LightGray Recusandae,Beauty,9927.4,True
P010105,Teal Iure,Toys,1528.84,True
P012604,Incentivize Enterprise Platforms,Fashion,FREE,True
P002392,IndianRed Porro,Fashion,1288.32,True
P000020,Deploy World-Class Eyeballs,Sports,16610.71,True
P006861,DarkGray Quas,Books,18378.06,True
P010414,Aquamarine Quisquam,Books,8358.29,True
P010956,OrangeRed Voluptas,Books,15894.53,True
P007513,LawnGreen Cupiditate,Toys,24052.08,True
P003721,Lime Ipsum,Fashion,14150.67,True
P006778,Chocolate Similique,Sports,21770.63,True
P003664,DarkGreen Eos,Beauty,19958.75,True
P006164,DarkRed Exercitationem,Electronics,8191.69,True
P011104,OliveDrab Molestias,Grocery,23433.06,True
P007571,DarkRed Repudiandae,Electronics,19863.07,True
P006760,DarkRed Ullam,Books,5022.8,True
P010342,PaleGoldenRod Tenetur,Electronics,24682.6,True
P013829,Maximize Front-End Niches,Electronics,FREE,True
P000219,Maroon Impedit,Sports,10656.32,True
P002894,BurlyWood Quia,Toys,2681.31,True
P003756,AliceBlue Fugit,Grocery,4401.96,True
P003240,LightCyan Totam,Fashion,4592.72,True
P007243,Peru Eius,Home,1854.33,True
P001541,LightSlateGray Quas,Grocery,18450.76,True
P005324,SlateGray Similique,Grocery,17301.82,True
P011573,Pink Sint,Sports,18028.4,True
P005831,WhiteSmoke In,Books,13354.59,True
P000148,MediumBlue Similique,Sports,4363.26,True
P008011,MistyRose Vero,Electronics,19420.17,True
P012895,Morph Efficient Action-Items,,-445.36521776448416,True
P001125,ForestGreen Hic,Electronics,9342.59,True
P009509,Blue Vitae,Electronics,387.86,True
P005061,Ivory Saepe,Books,8483.85,True
P014919,Re-Intermediate Revolutionary Users,Electronics,FREE,True
P002568,Mesh Killer Supply-Chains,,13266.91,True
P004406,Peru Aut,Books,6330.0,True
P012622,,Beauty,8273.19,True
P004998,SandyBrown Assumenda,Beauty,19403.9,True
P004911,DarkOrange Iure,Electronics,6990.14,True
P006007,LawnGreen Tenetur,Books,19778.37,True
P001511,LightGray Nihil,Electronics,21063.52,True
P003969,LightSalmon Dolorum,Books,14160.46,True
P001170,PaleVioletRed Consectetur,Fashion,10640.2,True
P014554,Disintermediate B2B Methodologies,,FREE,True
P001869,CornflowerBlue Ea,Grocery,2308.7,True
P014933,,Beauty,2583.99,True
P007850,Lavender Hic,Beauty,5721.11,True
P004582,MediumBlue Ipsa,Electronics,17381.11,True
P000914,PaleGreen Laboriosam,Toys,16075.05,True
P010734,LightPink Eos,Grocery,15771.96,True
P008506,Beige Sequi,Electronics,19521.37,True
P000547,PeachPuff Nostrum,Books,18443.47,True
P001132,Bisque Tempore,Toys,443.87,True
P008913,LightGoldenRodYellow Sapiente,Beauty,18379.39,True
P011440,Lime Esse,Beauty,23516.3,True
P002321,MediumSpringGreen Possimus,Electronics,11878.04,True
P000032,NavajoWhite Minus,Beauty,11047.82,True
P005297,SlateGray Quae,Toys,20045.08,True
P010417,Monetize Leading-Edge E-Tailers,Beauty,15510.75,True
P006452,DarkTurquoise Error,Electronics,20569.35,True
P002273,Brown Dignissimos,Fashion,8310.74,True
P009962,Tomato Quaerat,Beauty,93.56,True
P007318,ForestGreen Ex,Electronics,12001.14,True
P005770,PowderBlue Esse,Electronics,18221.01,True
P006201,Green Cupiditate,Books,14214.25,True
P003424,YellowGreen Amet,Home,23465.29,True
P001827,MintCream Officia,Grocery,1109.87,True
P007847,Chartreuse Delectus,Electronics,24298.6,True
P001307,Azure Nihil,Home,23560.88,True
P001293,Indigo Magni,Beauty,22334.98,True
