order_id,customer_code,order_date,status,order_city,order_state
O00007732,C0212968,2025-01-15 08:55:35.050952,SHIPPED,Ambala,Mizoram
O00066072,C0172475,2025-02-04 23:40:22.050952,DELIVERED,Indore,Tripura
O00123750,C0203497,2025-06-21 10:39:30.050952,SHIPPED,Medininagar,Meghalaya
O00127234,C0098803,2025-08-10 16:59:41.050952,RETURNED,Siliguri,Maharashtra
O00127891,C0113642,2025-11-22 00:10:44.050952,SHIPPED,Sambhal,Meghalaya
O00047547,C0107086,2025-10-10 10:28:18.050952,DELIVERED,Medininagar,Tripura
O00074849,C0048685,2025-02-02 17:56:40.050952,SHIPPED,North Dumdum,Haryana
O00089888,C0096547,2025-10-13 19:44:34.050952,SHIPPED,Sri Ganganagar,Maharashtra
O00026722,C0103306,2025-01-20 16:33:12.050952,RETURNED,Ozhukarai,West Bengal
O00014876,__ORPHAN__,2024-09-02 23:55:22.221628,RETURNED,Hapur,Manipur
O00029937,C0146930,2026-03-27 17:43:39.975020,PLACED,Amravati,Karnataka
O00061827,C0059383,2025-03-01 19:09:35.050952,PLACED,Amaravati,Jharkhand
O00013795,C0039244,2024-02-18 22:41:34.050952,DELIVERED,Alwar,Gujarat
O00061552,C0111387,2024-10-21 11:23:23.050952,RETURNED,Kadapa,Uttarakhand
O00040727,C0074730,2025-03-31 21:51:09.050952,SHIPPED,Bangalore,Himachal Pradesh
O00127879,C0148523,2025-09-05 06:53:41.050952,DELIVERED,Udupi,Odisha
O00136357,C0161303,2024-01-03 08:24:44.050952,PLACED,Bally,Mizoram
O00034325,C0016591,2024-11-24 00:34:02.221628,RETURNED,Burhanpur,Rajasthan
O00134239,C0092104,2024-01-04 14:30:13.221628,RETURNED,Karimnagar,Nagaland
O00001865,C0140002,2025-05-20 09:05:28.050952,SHIPPED,Amaravati,Kerala
O00021707,C0155744,2024-08-25 11:14:20.050952,PLACED,Bhopal,Bihar
O00143976,C0180255,2024-04-13 02:24:58.050952,SHIPPED,Loni,Karnataka
O00008672,C0005416,2025-06-04 19:18:16.050952,PLACED,Mango,Madhya Pradesh
O00114990,C0050347,2025-05-12 20:56:04.050952,SHIPPED,Jorhat,Tripura
O00140003,C0005555,2025-03-21 15:32:12.050952,SHIPPED,Jamalpur,Himachal Pradesh
O00056834,C0178275,2025-10-12 13:39:19.050952,SHIPPED,Jaipur,Mizoram
O00033794,C0049713,2024-12-07 07:39:40.050952,PLACED,Arrah,Goa
O00079389,C0172441,2024-04-10 11:33:44.050952,PLACED,Aurangabad,Goa
O00022683,C0130930,2025-09-12 09:24:46.050952,PLACED,Singrauli,Sikkim
O00136721,C0092201,2024-01-14 23:36:29.050952,PLACED,Navi Mumbai,Punjab
O00010834,C0027344,2024-01-29 11:00:22.050952,PLACED,Munger,Arunachal Pradesh
O00043950,C0083010,2025-12-03 22:52:13.050952,DELIVERED,Ranchi,Chhattisgarh
O00000427,C0162018,2024-10-05 09:45:03.050952,RETURNED,Gandhidham,Andhra Pradesh
O00146571,C0095712,2024-12-27 21:17:31.050952,DELIVERED,Nagercoil,Odisha
O00097459,C0178837,2024-04-21 12:59:05.050952,SHIPPED,Bahraich,Haryana
O00117618,C0179170,2024-06-16 04:04:43.050952,DELIVERED,Serampore,Telangana
O00015215,__ORPHAN__,2024-08-13 08:18:52.221628,DELIVERED,Madanapalle,Arunachal Pradesh
O00051328,C0100471,2024-01-22 07:04:26.050952,DELIVERED,Alwar,Telangana
O00045437,C0057934,2024-11-27 21:26:32.050952,SHIPPED,Panihati,Tripura
O00076839,C0147568,2024-03-30 18:50:37.050952,SHIPPED,Bongaigaon,Haryana
O00065880,C0014932,2024-04-11 08:10:38.050952,PLACED,Begusarai,Gujarat
O00073516,C0157495,2025-08-20 21:04:21.050952,RETURNED,Bijapur,Telangana
O00168035,C0175185,2024-11-30 03:17:58.050952,SHIPPED,Bathinda,Odisha
O00003873,__ORPHAN__,2024-10-08 08:44:14.221628,RETURNED,Delhi,Mizoram
O00024934,C0208221,2024-10-23 15:58:48.050952,SHIPPED,Dhanbad,Bihar
O00068711,C0048843,2024-10-15 00:16:35.050952,SHIPPED,Kota,Uttarakhand
O00007150,C0039962,2025-03-06 02:36:46.050952,SHIPPED,Karaikudi,Goa
O00054299,C0082624,2024-01-01 21:34:43.050952,SHIPPED,Anantapuram,Arunachal Pradesh
O00093722,C0188083,2023-12-09 02:57:50.050952,SHIPPED,Amravati,Arunachal Pradesh
O00003844,C0044168,2025-04-22 08:57:40.050952,SHIPPED,Rewa,Assam
O00034062,C0034043,2024-05-28 13:25:43.050952,DELIVERED,Bathinda,Nagaland
O00118425,C0000326,2025-11-23 02:18:52.050952,DELIVERED,Asansol,Chhattisgarh
O00110956,C0140288,2024-07-23 21:29:42.050952,SHIPPED,Chandigarh,Rajasthan
O00021152,C0149112,2024-05-14 04:35:19.050952,DELIVERED,Machilipatnam,Haryana
O00153201,C0121102,2024-11-28 08:45:36.050952,PLACED,Eluru,Goa
O00156571,C0140932,2024-11-03 19:01:49.050952,PLACED,Malegaon,Himachal Pradesh
O00148183,C0176300,2025-06-16 03:56:01.050952,PLACED,Jalna,Chhattisgarh
O00010473,C0062337,2025-08-13 23:50:23.050952,PLACED,Belgaum,Meghalaya
O00090805,C0076320,2025-02-20 12:40:48.050952,DELIVERED,Jamnagar,Karnataka
O00151028,C0086617,2024-09-01 11:00:10.050952,DELIVERED,Imphal,Jharkhand
O00088412,C0110957,2024-10-24 03:21:42.050952,SHIPPED,Bangalore,Chhattisgarh
O00021033,C0175195,2025-04-03 18:12:30.050952,SHIPPED,Korba,Maharashtra
O00040832,C0097674,2025-05-03 06:06:38.050952,PLACED,Alappuzha,Sikkim
O00023409,C0004268,2024-06-13 17:22:50.050952,SHIPPED,Ludhiana,Andhra Pradesh
